x,y
108.0,903.0
108.0,897.0
108.0,891.0
108.0,885.0
108.0,879.0
108.0,753.0
108.0,747.0
108.0,741.0
108.0,735.0
108.0,729.0
108.0,723.0
108.0,717.0
108.0,711.0
108.0,705.0
108.0,699.0
108.0,693.0
108.0,687.0
108.0,681.0
108.0,675.0
108.0,669.0
108.0,663.0
108.0,657.0
108.0,651.0
108.0,645.0
108.0,639.0
108.0,633.0
108.0,627.0
108.0,621.0
108.0,615.0
108.0,609.0
108.0,603.0
111.0,1152.0
111.0,1146.0
111.0,1098.0
111.0,1092.0
111.0,1086.0
111.0,1080.0
111.0,1074.0
111.0,1068.0
111.0,1062.0
111.0,1056.0
111.0,1050.0
111.0,1044.0
111.0,1038.0
111.0,1032.0
111.0,1026.0
111.0,1020.0
111.0,1014.0
111.0,744.0
111.0,738.0
111.0,732.0
111.0,720.0
111.0,714.0
111.0,708.0
111.0,702.0
111.0,696.0
111.0,690.0
111.0,684.0
111.0,678.0
111.0,672.0
111.0,666.0
111.0,660.0
111.0,654.0
111.0,648.0
111.0,642.0
111.0,636.0
111.0,630.0
111.0,624.0
111.0,618.0
111.0,612.0
111.0,606.0
114.0,1521.0
114.0,1515.0
114.0,1509.0
114.0,1503.0
114.0,1497.0
114.0,1491.0
114.0,1197.0
114.0,1191.0
114.0,1185.0
114.0,1179.0
114.0,1173.0
114.0,1167.0
114.0,1161.0
114.0,1155.0
114.0,1149.0
114.0,1143.0
114.0,1137.0
114.0,1131.0
114.0,1095.0
114.0,1089.0
114.0,1083.0
114.0,1077.0
114.0,1071.0
114.0,1065.0
114.0,1053.0
114.0,1047.0
114.0,1041.0
114.0,1035.0
114.0,1029.0
114.0,1023.0
114.0,909.0
114.0,903.0
114.0,897.0
114.0,891.0
114.0,885.0
114.0,879.0
114.0,753.0
114.0,747.0
114.0,741.0
114.0,735.0
114.0,729.0
114.0,723.0
114.0,717.0
114.0,711.0
114.0,705.0
114.0,699.0
114.0,693.0
114.0,687.0
